[]point(40.4172,-86.8786)  02/23/2017
[u'love', u'hate']point(30.31788001,-97.7216621)  02/23/2017
[]point(33.983113,-84.352687)  02/23/2017
[u'MatchingGlasses', u'WednesdayLunch', u'Carlos', u'PleaseCanIHaveIt']point(41.94998051,-87.64952716)  02/23/2017
[u'donaldtrump', u'hispanics', u'dominican']point(37.80626243,-122.40470274)  02/23/2017
[u'hiring', u'job']point(33.4279329,-94.0468519)  02/23/2017
[u'DePauw']point(39.64132,-86.86214)  02/23/2017
[u'job', u'CustomerService', u'Reno', u'Hiring', u'CareerArc']point(39.5296329,-119.8138027)  02/23/2017
[u'hiring', u'Carlsbad', u'Restaurant', u'Job', u'Jobs']point(33.1272423,-117.3241041)  02/23/2017
[]point(28.36671694,-81.56009015)  02/23/2017
[]point(47.1633553,-122.47936414)  02/23/2017
[u'hiring', u'Healthcare', u'Portland', u'Job', u'Jobs']point(45.5220648,-122.6757228)  02/23/2017
[u'hiring', u'Seattle', u'CustomerService', u'Job']point(47.61,-122.33)  02/23/2017
[]point(43.1655,-77.6115)  02/23/2017
[]point(41.49665229,-81.68805566)  02/23/2017
[]point(34.0522,-118.243)  02/23/2017
[]point(39.998,-75.1448)  02/23/2017
[]point(32.54377799,-117.04064445)  02/23/2017
[u'chicago', u'cycling', u'fujibikes', u'fujigranfondo', u'cyclelife', u'roadbikes']point(41.9416223,-87.63778808)  02/23/2017
[]point(35.20732082,-97.44431593)  02/23/2017
[]point(25.78777376,-80.13018126)  02/23/2017
[]point(39.27712042,-94.48029488)  02/23/2017
[u'napa', u'whitehall', u'winecountry', u'whosin']point(38.4781486,-122.4375769)  02/23/2017
[]point(34.286667,-111.656944)  02/23/2017
[u'blooms', u'lodi', u'lodilivin', u'fbclodi']point(38.13824943,-121.29894723)  02/23/2017
[u'WinoWednesday']point(37.11604774,-93.4866256)  02/23/2017
[]point(41.63847,-87.6079)  02/23/2017
[]point(41.7765,-88.1884)  02/23/2017
[]point(38.88815178,-77.0259726)  02/23/2017
[]point(34.80756744,-87.68087609)  02/23/2017
[]point(41.6498,-91.521)  02/23/2017
[u'rainydays', u'fpvaddiction', u'fpvlife']point(28.93402,-81.28461)  02/23/2017
[u'macaron', u'dessertsfirst']point(38.25682995,-85.66464796)  02/23/2017
[]point(38.34196,-85.8)  02/23/2017
[]point(38.9286032,-75.5095629)  02/23/2017
[]point(33.70212022,-116.3927052)  02/23/2017
[u'FortDodge', u'Sales', u'Job', u'Jobs', u'Hiring']point(42.4974694,-94.1680158)  02/23/2017
[]point(37.4293,-122.138)  02/23/2017
[u'ghostbusters', u'nyc']point(34.06097577,-118.43713934)  02/23/2017
[]point(42.36085,-71.10402)  02/23/2017
[u'Hayward', u'job', u'Banking', u'Hiring', u'CareerArc']point(37.6720614,-122.0843751)  02/23/2017
[u'job', u'Hospitality', u'SanDiego']point(32.7635026,-117.1065742)  02/23/2017
[u'ArtsandRhymesApp']point(40.69416667,-73.91861111)  02/23/2017
[]point(40.26028199,-76.87996387)  02/23/2017
[]point(33.4734861,-111.92574146)  02/23/2017
[]point(33.84629245,-84.36214193)  02/23/2017
[u'Denver', u'Saludmental']point(39.7380371,-105.0265195)  02/23/2017
[u'job', u'Anchorage', u'Automotive', u'Hiring']point(61.1802493,-149.8695827)  02/23/2017
[u'zacbrownband', u'crs', u'crs2017', u'beautifulmusic', u'countrymusic', u'greatsong', u'zacbrown']point(36.15742,-86.77564)  02/23/2017
[u'hiring', u'job']point(30.267153,-97.7430608)  02/23/2017
[u'Claycomo', u'KCtraffic']point(39.20624,-94.49183)  02/23/2017
[u'job', u'OklahomaCity', u'Retail', u'Hiring']point(35.4485209,-97.6602365)  02/23/2017
[]point(37.7186,-122.432)  02/23/2017
[u'Cobb', u'ATLTraffic']point(33.9227,-84.48521)  02/23/2017
[u'RIFDOS']point(34.04873718,-118.24068511)  02/23/2017
[u'mountainvibes', u'getoutside', u'exploremore', u'djiphantom4']point(34.14558319,-117.28893662)  02/23/2017
[u'followers']point(25.6377,-80.41923)  02/23/2017
[]point(34.0221,-118.481)  02/23/2017
[]point(25.6479055,-100.32519653)  02/23/2017
[]point(29.744508,-95.363141)  02/23/2017
[u'condiosenlavoz']point(40.7142,-74.0064)  02/23/2017
[]point(39.8278,-77.6714)  02/23/2017
[u'AIRPOW']point(41.8651265,-87.6239153)  02/23/2017
[u'AfterDin\xe1micaDeIntegraci\xf3n']point(25.65896299,-100.36749627)  02/23/2017
[]point(36.07193674,-94.15784928)  02/23/2017
[]point(35.98873298,-96.0518699)  02/23/2017
[]point(41.2964,-73.1121)  02/23/2017
